trial,pr_auc,state,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda
27,0.7463703872202104,COMPLETE,750,0.03758039895994896,48,8,57,0.9801590411700488,2,0.5857159495631069,0.004222166324377954,0.03629490417703412
38,0.7461702739986509,COMPLETE,500,0.03998247155107596,56,7,56,0.9773518059942234,1,0.7485348149900535,0.004807677989846211,0.0026806525129325826
17,0.7458960971545808,COMPLETE,850,0.02363435703555973,43,8,38,0.9610628594861361,2,0.569428361523541,0.019531608446973193,0.03711820601256852
36,0.7458857278951313,COMPLETE,600,0.032893692401596585,62,9,50,0.8372548042410566,1,0.8880415180196569,0.0010214886239107298,0.004923031740912346
34,0.7452490901723802,COMPLETE,600,0.06492438622832103,70,6,60,0.9033323844775627,1,0.7968942406275201,0.002200935535179809,0.00185100252529123
25,0.7451240487180414,COMPLETE,650,0.026890650835578143,40,8,34,0.9345031004895319,2,0.6565361417493472,0.0030038974161521693,1.4416873728769564
11,0.7440938889095862,COMPLETE,900,0.08171759864501184,79,7,38,0.9838847138905483,5,0.625175165371573,0.007802138790005693,0.6878044086351303
21,0.7438111157384837,COMPLETE,850,0.02405436770960742,42,8,38,0.9613444440589318,2,0.5671333508857916,0.017583051494040627,0.029617639824252487
22,0.7433591663900151,COMPLETE,850,0.043629698283980355,32,8,38,0.9004353003929652,1,0.573088245217532,0.04136607145138474,0.037826752420350614
33,0.7433088104542204,COMPLETE,600,0.1148792797108752,62,4,54,0.9445135257717531,1,0.8594635462925454,0.002136248769089664,0.0040322214310499266
24,0.7430310921654271,COMPLETE,900,0.058742927187109044,51,9,45,0.962559585020519,1,0.5021943294471418,0.0746605072225932,0.3673052231672847
20,0.7428555947006045,COMPLETE,400,0.030541000564661577,45,9,26,0.938852198537607,3,0.6954768125194672,0.8691847887180779,0.15939535774108682
12,0.7425222505996341,COMPLETE,900,0.03167935651418151,80,8,32,0.9961357032158777,5,0.6135695058254393,0.007339842447928344,0.4666405141301824
13,0.7422642667085233,COMPLETE,800,0.09203803265148959,53,8,52,0.9518279309053542,4,0.651723150444279,0.006663399222426232,3.299557544633802
26,0.741722874700644,COMPLETE,850,0.12294408246695167,75,6,50,0.8925488302271789,1,0.721393581106369,0.014074044595180333,0.007259087556031448
37,0.7408684120423036,COMPLETE,700,0.054983799287644686,68,5,48,0.8747774740116366,2,0.7238159452345333,0.0017906249118599675,0.01932766612282558
32,0.7405839724285459,COMPLETE,500,0.14676798381711584,58,7,46,0.9184569674485447,1,0.8180876287559282,0.0010760188885235145,0.0010248772316972675
29,0.7400360221882865,COMPLETE,700,0.04862186188389125,66,9,56,0.8677634791754146,1,0.6413042892292486,0.0016685784120084811,0.015116074013268432
39,0.7394139000532247,COMPLETE,650,0.06870471486651436,63,3,48,0.9328007359722101,2,0.9262870175969847,0.002368524629002238,0.009857679914051374
7,0.7353044228132625,COMPLETE,750,0.017128044242493735,15,8,44,0.8916028672163949,4,0.5370223258670452,0.02715581955282941,0.0029072088906598446
3,0.7348428461976771,COMPLETE,650,0.015869086642715014,19,9,59,0.9233589392465844,2,0.5488360570031919,0.5456725485601477,0.057624872164786026
35,0.7338061064248896,COMPLETE,400,0.09148899780128021,70,9,42,0.9243493098370339,1,0.7803796941943157,0.004380910769769594,0.008647482786869628
2,0.7287321149095713,COMPLETE,650,0.01459007452373112,34,5,30,0.9140703845572055,1,0.7571172192068059,0.23423849847112907,0.0015339162591163618
4,0.7281176049349326,COMPLETE,250,0.03822726574649208,17,9,19,0.8650089137415928,2,0.7600340105889054,0.1537592023548176,0.0054880470007660455
23,0.7265152502874279,COMPLETE,800,0.010894064755828641,26,7,34,0.9997970255349976,2,0.6008066180095653,0.009930677799258209,0.1058603197028656
19,0.7256993716976022,COMPLETE,750,0.07267854842624646,59,5,43,0.7590602526122234,5,0.9906565433791468,0.003225339000322536,0.009903281752862722
9,0.7251959837647688,COMPLETE,250,0.06899870818520017,65,6,48,0.7975182385457563,3,0.7137705091792748,0.0012637946338082875,0.0027012557725439087
6,0.722228882931749,COMPLETE,450,0.02085120818436357,69,5,20,0.8170784332632994,1,0.9010984903770198,0.0019870215385428634,8.862326508576253
14,0.7220086263883557,COMPLETE,900,0.0583315447068206,53,7,39,0.8636114419235895,3,0.5018257903686377,0.0011065136021091012,0.018293691659743663
8,0.7200550014527041,COMPLETE,800,0.054082340576877566,36,3,22,0.7300733288106989,4,0.8187787356776066,3.53875886477924,0.0774211647399625
16,0.7186115346337635,COMPLETE,550,0.04551550443996615,58,6,28,0.7965812511573757,3,0.6102386746044103,0.0035881990315578104,1.8029132161525234
18,0.7091574244101708,COMPLETE,550,0.10190132096088401,74,7,53,0.8388049554799257,4,0.8345053700849178,7.37238787878091,0.20162519142512553
1,0.6972815499378189,COMPLETE,200,0.13826189316223852,69,4,15,0.6733618039413735,2,0.762378215816119,0.05342937261279776,0.014618962793704957
0,0.6932873229793259,COMPLETE,450,0.13125830316209655,63,7,13,0.662397808134481,1,0.9330880728874675,0.2537815508265665,0.679657809075816
40,0.6926879873810498,COMPLETE,350,0.08270379045188161,74,6,41,0.6953025096053896,1,0.7468564817997712,0.12157348092276615,0.0014042291242777273
15,0.6692435429587034,COMPLETE,700,0.10305006334842678,74,9,5,0.6083654265933616,5,0.6751921451888392,0.02050884892193026,0.2118291077056914
