company,year,sales,expenses,operating_profit,other_income,interest,depreciation,profit_before_tax,net_profit,equity_capital,reserves,borrowings,other_liabilities,total_assets,fixed_assets,investments,cwip,other_assets,debtor_days,inventory_days,days_payable,working_capital_days,ticker
TCS,2019,123170,88206,34964,7627,170,1716,40705,30065,375,78523,39,20224,99161,9661,30469,0.0,58197,71,0,,68,TCS
Infosys,2019,73107,54433,18674,2852,0,1599,19927,14702,2178,60533,0,15678,78389,10497,18139,0.0,48541,68,0,,60,INFY
Asian Paints,2019,16392,12885,3507,285,81,541,3170,2132,96,8747,614,4226,13683,5221,0.0,0.0,0.0,28,117,94,20,ASIANPAINT
Nestle India,2019,12369,9443,2926,0,129,370,2673,1968,96,1822,189,3244,7173,2341,0.0,0.0,0.0,4,0,,-20,NESTLEIND
Hindustan Unilever,2019,38224,29587,8637,0,28,524,8522,6036,216,7443,0,10206,17865,4343,0.0,0.0,0.0,16,0,,-32,HINDUNILVR
Jet Airways,2019,23057,26718,-3660,-452,982,442,-5536,-5536,114,-12809,7684,16126,11115,3343,696,0.0,7076,7,,,-273,JETAIRWAYS
Reliance Comm,2018,2231,14900,-12669,3000,0,200,-9869,-9870,1383,7933,35876,10757,55949,2230,17784,0.0,35775,,,,-200,RCOM
Future Retail,2020,20118,18041,2077,-9,993,1041,34,34,105,4173,8889,8111,21279,3372,0.0,0.0,0.0,12,128,,12,FRETAIL
